Time;     A1;     A2;     A3
0,125269978;10,03;-0,37;0,32
0,125578525;10;-0,4;0,32
0,125887072;9,97;-0,37;0,32
0,126195619;10;-0,37;0,23
0,126504165;9,97;-0,37;0,23
0,126812712;10;-0,34;0,23
0,127121259;9,97;-0,37;0,2
0,127429806;9,97;-0,37;0,23
0,127738352;10;-0,37;0,2
0,128046899;9,94;-0,34;0,26
0,128355446;9,97;-0,37;0,23
0,128663993;9,97;-0,34;0,26
0,128972539;10;-0,37;0,32
0,129281086;10,03;-0,37;0,34
0,129589633;10;-0,4;0,32
0,12989818;9,97;-0,37;0,34
0,130206726;10;-0,4;0,34
0,130515273;9,94;-0,37;0,29
0,13082382;10;-0,37;0,23
0,131132367;10,03;-0,37;0,2
0,131440913;9,94;-0,37;0,23
0,13174946;9,94;-0,34;0,2
0,132058007;9,97;-0,37;0,23
0,132366554;10;-0,4;0,26
0,1326751;9,92;-0,34;0,23
0,132983647;9,92;-0,34;0,26
0,133292194;10,09;-0,4;0,29
0,133600741;10,03;-0,4;0,32
0,133909287;9,94;-0,32;0,34
0,134217834;10;-0,37;0,34
0,134526381;9,97;-0,4;0,29
0,134834927;10;-0,4;0,32
0,135143474;9,97;-0,37;0,32
0,135452021;9,97;-0,37;0,23
0,135760568;9,97;-0,34;0,23
0,136069114;9,97;-0,37;0,2
0,136377661;9,97;-0,34;0,23
0,136686208;10;-0,34;0,2
0,136994755;10;-0,37;0,23
0,137303301;9,97;-0,37;0,29
0,137611848;10;-0,37;0,32
0,137920395;10,03;-0,37;0,29
0,138228942;9,97;-0,4;0,32
0,138537488;9,97;-0,37;0,34
0,138846035;10,03;-0,4;0,34
0,139154582;10;-0,4;0,34
0,139463129;9,97;-0,37;0,32
0,139771675;9,97;-0,37;0,32
0,140080222;9,94;-0,34;0,29
0,140388769;9,97;-0,37;0,26
0,140697316;9,97;-0,37;0,23
0,141005862;9,97;-0,34;0,23
0,141314409;9,97;-0,37;0,2
0,141622956;10;-0,34;0,23
0,141931503;9,97;-0,37;0,23
0,142240049;9,97;-0,4;0,26
0,142548596;10,03;-0,4;0,29
0,142857143;10;-0,37;0,32
0,14316569;10,03;-0,37;0,32
0,143474236;10,06;-0,34;0,32
0,143782783;10;-0,37;0,32
0,14409133;9,97;-0,37;0,32
0,144399877;10;-0,37;0,29
0,144708423;9,97;-0,34;0,32
0,14501697;9,97;-0,4;0,29
0,145325517;9,97;-0,4;0,23
0,145634064;10;-0,34;0,23
0,14594261;9,94;-0,37;0,23
0,146251157;9,97;-0,37;0,23
0,146559704;9,97;-0,37;0,26
0,146868251;9,97;-0,34;0,23
0,147176797;9,97;-0,4;0,26
0,147485344;10;-0,37;0,29
0,147793891;10;-0,37;0,32
0,148102438;9,97;-0,37;0,32
0,148410984;10;-0,4;0,34
0,148719531;10,03;-0,34;0,32
0,149028078;10;-0,37;0,34
0,149336624;9,97;-0,37;0,32
0,149645171;10;-0,37;0,26
0,149953718;9,94;-0,34;0,23
0,150262265;9,94;-0,37;0,26
0,150570811;10;-0,34;0,2
0,150879358;9,97;-0,37;0,2
0,151187905;9,97;-0,37;0,23
0,151496452;10;-0,37;0,2
0,151804998;9,97;-0,34;0,26
0,152113545;10;-0,37;0,29
0,152422092;10,03;-0,34;0,34
0,152730639;10,06;-0,37;0,34
0,153039185;10,03;-0,4;0,37
0,153347732;10;-0,37;0,34
0,153656279;9,97;-0,37;0,34
0,153964826;9,97;-0,37;0,32
0,154273372;10;-0,37;0,26
0,154581919;9,97;-0,37;0,2
0,154890466;9,94;-0,37;0,23
0,155199013;10,03;-0,34;0,2
0,155507559;10;-0,37;0,2
0,155816106;9,94;-0,37;0,2
0,156124653;9,97;-0,37;0,23
0,1564332;10;-0,4;0,23
0,156741746;9,97;-0,34;0,29
0,157050293;10;-0,37;0,34
0,15735884;10;-0,37;0,32
0,157667387;10;-0,37;0,32
0,157975933;10;-0,4;0,32
0,15828448;10,03;-0,37;0,34
0,158593027;10,03;-0,37;0,29
0,158901574;9,97;-0,37;0,26
0,15921012;9,94;-0,37;0,2
0,159518667;10;-0,37;0,2
0,159827214;9,97;-0,37;0,2
0,160135761;9,94;-0,34;0,2
0,160444307;10,06;-0,37;0,23
0,160752854;10,06;-0,37;0,2
0,161061401;9,94;-0,34;0,26
0,161369948;9,97;-0,37;0,32
0,161678494;10,03;-0,34;0,37
0,161987041;10;-0,37;0,34
0,162295588;9,97;-0,37;0,34
0,162604135;9,97;-0,4;0,32
0,162912681;9,97;-0,4;0,32
0,163221228;10;-0,37;0,29
0,163529775;9,97;-0,37;0,32
0,163838322;10;-0,37;0,29
0,164146868;9,94;-0,4;0,26
0,164455415;9,94;-0,34;0,23
0,164763962;10;-0,37;0,26
0,165072508;9,97;-0,37;0,2
0,165381055;10;-0,34;0,23
0,165689602;9,92;-0,37;0,23
0,165998149;9,86;-0,34;0,26
0,166306695;10,09;-0,34;0,29
0,166615242;10,06;-0,4;0,34
0,166923789;10;-0,4;0,32
0,167232336;10,03;-0,34;0,34
0,167540882;9,92;-0,37;0,34
0,167849429;10;-0,37;0,32
0,168157976;10,06;-0,4;0,32
0,168466523;9,92;-0,37;0,23
0,168775069;9,97;-0,37;0,23
0,169083616;10;-0,37;0,23
0,169392163;9,97;-0,37;0,2
0,16970071;10;-0,34;0,2
0,170009256;9,94;-0,37;0,2
0,170317803;9,97;-0,34;0,23
0,17062635;10,03;-0,34;0,23
0,170934897;9,97;-0,37;0,32
0,171243443;9,97;-0,34;0,32
0,17155199;10,06;-0,37;0,32
0,171860537;10,06;-0,37;0,37
0,172169084;9,97;-0,37;0,34
0,17247763;9,94;-0,37;0,32
0,172786177;10;-0,37;0,34
0,173094724;9,97;-0,37;0,29
0,173403271;9,97;-0,34;0,23
0,173711817;9,94;-0,37;0,2
0,174020364;9,97;-0,37;0,2
0,174328911;9,94;-0,34;0,2
0,174637458;9,94;-0,34;0,23
0,174946004;10;-0,37;0,26
0,175254551;9,97;-0,37;0,29
0,175563098;10;-0,34;0,32
0,175871645;10,03;-0,37;0,32
0,176180191;10,03;-0,4;0,37
0,176488738;10;-0,37;0,34
0,176797285;10;-0,37;0,32
0,177105832;10,03;-0,4;0,32
0,177414378;9,92;-0,37;0,29
0,177722925;9,89;-0,34;0,26
0,178031472;10,09;-0,4;0,23
0,178340019;10;-0,37;0,23
0,178648565;9,92;-0,34;0,2
0,178957112;10;-0,37;0,2
0,179265659;10;-0,37;0,2
0,179574205;9,97;-0,4;0,26
0,179882752;9,97;-0,37;0,29
0,180191299;10,03;-0,34;0,29
0,180499846;10,06;-0,4;0,32
0,180808392;9,97;-0,4;0,32
0,181116939;9,97;-0,37;0,34
0,181425486;10;-0,4;0,34
0,181734033;9,97;-0,37;0,34
0,182042579;9,97;-0,37;0,29
0,182351126;9,97;-0,37;0,26
0,182659673;10;-0,4;0,23
0,18296822;9,97;-0,37;0,23
0,183276766;9,97;-0,34;0,23
0,183585313;10;-0,37;0,2
0,18389386;9,97;-0,34;0,23
0,184202407;9,94;-0,37;0,23
0,184510953;9,94;-0,34;0,23
0,1848195;10;-0,37;0,26
0,185128047;9,97;-0,34;0,29
0,185436594;10;-0,37;0,34
0,18574514;9,97;-0,37;0,34
0,186053687;9,97;-0,4;0,34
