,Time,A1,A2,A3
17390,5.365627893,9.6,2.21,-2.56
17391,5.365936439,9.71,16.87,-5.58
17392,5.366244986,5.37,13.08,-6.32
17393,5.366553533,7.47,17.42,-2.96
17394,5.36686208,10.46,21.7,0.17
17395,5.367170626,6.78,17.91,1.12
17396,5.367479173,9.28,15.2,0.89
17397,5.36778772,12.07,13.8,2.87
17398,5.368096267,12.27,6.52,5.86
17399,5.368404813,16.55,-2.99,4.94
17400,5.36871336,12.73,-7.41,2.99
17401,5.369021907,8.68,-12.47,2.73
17402,5.369330454,11.61,-14.71,2.7
17403,5.369639,9.6,-12.13,1.47
17404,5.369947547,8.71,-10.84,-1.12
17405,5.370256094,10.32,-6.52,-1.26
17406,5.370564641,9.83,-1.87,-0.2
17407,5.370873187,9.97,-1.32,-1.35
17408,5.371181734,9.89,2.13,-2.33
17409,5.371490281,10.23,4.11,-1.35
17410,5.371798828,9.92,0.92,0.03
17411,5.372107374,11.12,4.51,-0.49
17412,5.372415921,11.12,1.03,1.21
17413,5.372724468,8.22,-11.15,4.63
17414,5.373033015,11.21,-3.97,2.07
17415,5.373341561,10.26,-4.2,1.15
17416,5.373650108,7.9,-18.45,4.57
17417,5.373958655,11.32,-16.24,1.9
17418,5.374267201,6.78,-15.98,-2.56
17419,5.374575748,8.45,-9.4,-3.19
17420,5.374884295,14.23,4.6,-2.82
17421,5.375192842,6.9,4.4,-4.02
17422,5.375501388,6.61,15.52,-6.41
17423,5.375809935,9.17,22.24,-4.97
17424,5.376118482,6.27,15.86,-1.01
17425,5.376427029,8.82,23.42,0.75
17426,5.376735575,9.08,19.51,1.01
17427,5.377044122,9.8,11.41,1.81
17428,5.377352669,13.71,13.8,4.6
17429,5.377661216,15.03,1.52,5.72
17430,5.377969762,14.34,-8.02,3.68
17431,5.378278309,10.66,-9.83,2.85
17432,5.378586856,10.17,-16.04,2.9
17433,5.378895403,10.4,-13.97,2.27
17434,5.379203949,8.82,-12.04,0.37
17435,5.379512496,9.89,-10.23,-1.32
17436,5.379821043,9.74,-2.56,-0.46
17437,5.38012959,10.58,-0.72,-0.43
17438,5.380438136,9.66,0.46,-1.98
17439,5.380746683,9.69,4.34,-1.87
17440,5.38105523,11.35,3.54,-0.34
17441,5.381363777,8.02,1.15,-0.14
17442,5.381672323,13.11,4.11,-0.14
17443,5.38198087,13.8,-1.93,3.13
17444,5.382289417,3.68,-17.93,3.94
17445,5.382597964,9.8,-8.56,1.24
17446,5.38290651,14.83,-1.44,2.93
17447,5.383215057,6.15,-23.05,3.99
17448,5.383523604,6.7,-17.65,-0.57
17449,5.383832151,12.44,0.98,-3.82
17450,5.384140697,10.03,-5.12,-2.9
17451,5.384449244,7.79,2.27,-3.08
17452,5.384757791,9.69,18.8,-6.29
